candidate_id,domain,era,class,family,variant,priority,status,parameter_targets,source_targets,notes
eq-ru-ground-t72a,ground,cold_war,main_battle_tank,T-72,T-72A,P2,parameter_complete,geometry;mass;powerpack;mobility;crew;armament;protection,Soviet technical references;professional assessment,All target fields filled; production subseries and overhaul options remain cross-check items
eq-ru-ground-bmp2,ground,post_cold_war,infantry_fighting_vehicle,BMP,BMP-2,P1,parameter_complete,geometry;mass;powerpack;mobility;crew;payload;armament;protection,Army recognition guide;technical references,All target fields filled; retrievable Tier C sources replace 404 pointer; cross-check pending
eq-ru-ground-bmp1,ground,cold_war,infantry_fighting_vehicle,BMP,BMP-1,P2,parameter_complete,geometry;mass;powerpack;mobility;crew;payload;armament;protection,Soviet technical references;professional assessment,All target fields filled; subseries, sight and range conventions remain cross-check items
eq-kr-ground-k2,ground,current,main_battle_tank,K2,K2 Black Panther,P2,parameter_complete,geometry;mass;powerpack;mobility;crew;armament;protection,ROK Army;Hyundai Rotem technical data,All target fields filled; engine/transmission batch and export-fit differences remain cross-check items
eq-eu-ground-cv90mk4,ground,current,infantry_fighting_vehicle,CV90,Mk IV,P2,parameter_complete,geometry;mass;powerpack;mobility;crew;payload;armament;protection,Swedish Army;BAE Systems technical data,All target fields filled; customer turret, passenger capacity and fording fit remain cross-check items
eq-de-ground-pzh2000,ground,current,self_propelled_artillery,PzH 2000,PzH 2000,P1,parameter_complete,geometry;mass;powerpack;mobility;crew;payload;armament;protection,Bundeswehr;manufacturer technical data,All target fields filled; charge and secondary-MG values are explicit estimates; cross-check pending
eq-us-ground-m109a7,ground,current,self_propelled_artillery,M109,M109A7,P1,parameter_complete,geometry;mass;powerpack;mobility;crew;armament;ammunition,US Army;PEO GCS;official manual,All target fields filled; 675/600 hp and mass conventions remain cross-check items
eq-us-ground-m109a2,ground,cold_war,self_propelled_artillery,M109,M109A2,P2,parameter_complete,geometry;mass;powerpack;mobility;crew;armament;ammunition,US Army;Army handbook;technical manual,All target fields filled; crew, height and travel-mass conventions remain cross-check items
eq-us-ground-m142-himars,ground,current,rocket_artillery,HIMARS,M142,P1,parameter_complete,geometry;mass;powerpack;mobility;crew;payload;munitions,US Army;PEO Missiles and Space;Lockheed Martin;official manual,All target fields filled; vehicle/combat mass semantics and engine output remain cross-check items
eq-us-ground-m270a1,ground,post_cold_war,rocket_artillery,MLRS,M270A1,P2,parameter_complete,geometry;mass;powerpack;mobility;crew;payload;munitions,US Army;PEO Missiles and Space,All target fields filled; range and loaded-mass handbook revisions remain cross-check items
eq-us-air-f15c,air,post_cold_war,fighter,F-15,F-15C,P1,parameter_complete,geometry;mass;engine;flight;crew;avionics;armament,USAF fact sheet;NAVAIR or USAF manuals,All target fields filled; bounded community values require cross-check
eq-us-air-f15e,air,post_cold_war,fighter,F-15,F-15E,P1,parameter_complete,geometry;mass;engine;flight;crew;armament;fuel,USAF fact sheet,All declared target fields filled from the F-15E fact sheet; mission-dependent payload is retained as the source's stated value
eq-us-air-f22a,air,post_cold_war,fighter,F-22,F-22A,P1,parameter_complete,geometry;mass;engine;flight;crew;armament;fuel,USAF fact sheet,All declared target fields filled from the F-22 fact sheet; loadout-based payload remains source-defined
eq-us-air-f35a,air,current,fighter,F-35,F-35A,P1,parameter_complete,geometry;mass;engine;flight;crew;armament;fuel,USAF fact sheet;Air Force Nuclear Weapons Center,All declared target fields filled from the F-35A fact sheet
eq-us-air-f35c,air,current,fighter,F-35,F-35C,P1,parameter_complete,geometry;mass;engine;flight;crew;armament;fuel,US Navy;Lockheed Martin Fast Facts;specialist secondary reference,All target fields filled; crew and ceiling are Tier C specialist readings and remain cross-check items
eq-us-air-kc135r,air,cold_war,tanker,KC-135,KC-135R,P1,parameter_complete,geometry;mass;engine;flight;crew;fuel;payload,USAF fact sheet,All declared target fields filled from the KC-135R fact sheet; transfer fuel and ferry range are kept distinct
eq-us-air-kc46a,air,current,tanker,KC-46,KC-46A,P1,parameter_complete,geometry;mass;engine;flight;crew;fuel;payload,USAF Air Mobility Command fact sheet,All target fields filled; permanent aircrew seating and aeromedical crew are kept distinct
eq-us-air-c17a,air,current,strategic_transport,C-17,C-17A,P1,parameter_complete,geometry;mass;engine;flight;crew;payload,USAF fact sheet,All target fields filled; payload and range retain the source's stated mission conditions
eq-us-air-mq9a,air,current,uas,MQ-9,MQ-9A,P1,parameter_complete,geometry;mass;engine;flight;crew;armament;fuel;sensors,USAF and Creech AFB fact sheets,All target fields filled; extended-range figures are retained as a distinct configuration
eq-us-air-c130j,air,current,tactical_transport,C-130,C-130J,P1,parameter_complete,geometry;mass;engine;flight;crew;payload,USAF C-130 fact sheet,All target fields filled; standard-length C-130J values are kept separate from C-130J-30
eq-us-air-f4e,air,cold_war,fighter,F-4,F-4E,P2,parameter_complete,geometry;mass;engine;flight;crew;radar;armament,USAF historical fact sheet;technical manual,All target fields filled; bounded community values require cross-check
eq-us-air-a10c,air,post_cold_war,attack,A-10,A-10C,P1,parameter_complete,geometry;mass;engine;flight;crew;payload,USAF fact sheet,All declared target fields filled from the A-10C fact sheet; direct page retrieval remains restricted and requires later cross-check
eq-us-air-b1b,air,cold_war,bomber,B-1,B-1B,P1,parameter_complete,geometry;mass;engine;flight;crew;fuel;payload,USAF fact sheet,All declared target fields filled from the B-1B fact sheet; range remains at the source's intercontinental granularity
eq-us-air-b2a,air,post_cold_war,bomber,B-2,B-2A,P1,parameter_complete,geometry;mass;engine;flight;crew;fuel;payload,USAF fact sheet,All declared target fields filled from the B-2 fact sheet; direct page retrieval remains restricted and inventory is not used as a simulation parameter
eq-us-air-b52h,air,cold_war,bomber,B-52,B-52H,P1,parameter_complete,geometry;mass;engine;flight;crew;fuel;payload,USAF fact sheet,All declared target fields filled from the B-52H fact sheet; direct page retrieval remains restricted and payload/range remain source-level values
eq-ru-air-su27s,air,cold_war,fighter,Su-27,Su-27S,P1,parameter_complete,geometry;mass;engine;flight;crew;radar;armament,Russian MoD;professional reference,All target fields filled; late-Cold-War configuration, Tier C specialist values require cross-check
eq-ru-air-mig29a,air,cold_war,fighter,MiG-29,MiG-29A,P1,parameter_complete,geometry;mass;engine;flight;crew;radar;armament,Soviet technical references;operator manuals,All target fields filled; Tier C specialist values require cross-check
eq-ru-air-mig31b,air,cold_war,interceptor,MiG-31,MiG-31B,P2,parameter_complete,geometry;mass;engine;flight;crew;radar;armament,Russian MoD;technical references,All target fields filled; radar and cannon-load bounds require cross-check
eq-fr-air-miragef1,air,cold_war,fighter,Mirage F1,Mirage F1C,P2,parameter_complete,geometry;mass;engine;flight;crew;radar;armament,French MoD;Dassault historical data,All target fields filled; historical and bounded community values require cross-check
eq-eu-air-tornadoids,air,cold_war,ground_attack,Tornado,IDS,P2,parameter_complete,geometry;mass;engine;flight;crew;radar;armament,UK MoD;German MoD;Italian MoD,All target fields filled; national fit differences require cross-check
eq-se-air-gripenc,air,current,fighter,Gripen,Gripen C,P2,parameter_complete,geometry;mass;engine;flight;crew;radar;armament,Swedish Armed Forces;Saab technical data,All target fields filled; software and signature estimates require cross-check
eq-cn-air-j10c,air,current,fighter,J-10,J-10C,P1,parameter_complete,geometry;mass;engine;flight;crew;radar;armament,PRC Ministry of National Defense;official releases,All target fields filled; official presence plus Tier C parameter estimates require cross-check
eq-cn-air-j20,air,current,fighter,J-20,J-20,P2,parameter_complete,geometry;mass;engine;flight;crew;radar;armament,PRC Ministry of National Defense;professional assessment,All target fields filled; early operational J-20/WS-10B baseline separated from later variants
eq-us-naval-ticonderoga,naval,current,surface_combatant,Ticonderoga,Ticonderoga class,P1,parameter_complete,hull;displacement;propulsion;speed;crew;sensors;weapons,US Navy fact file;NAVSEA,All target fields filled; refit and local-protection bounds remain cross-check items
eq-us-naval-losangeles,naval,cold_war,submarine,Los Angeles,Los Angeles class,P2,parameter_complete,hull;displacement;propulsion;speed;crew;sensors;weapons,US Navy fact file;NAVSEA,All target fields filled; Flight I/II/III VLS and pressure-hull bounds remain cross-check items
eq-us-naval-nimitz,naval,current,aircraft_carrier,Nimitz,Nimitz class,P1,parameter_complete,hull;displacement;propulsion;speed;crew;air_wing;weapons,US Navy fact file;NAVSEA,All target fields filled; refit-specific defensive fit and aviation load remain cross-check items
eq-ru-naval-sovremenny,naval,cold_war,surface_combatant,Sovremenny,Project 956,P2,parameter_complete,hull;displacement;propulsion;speed;crew;sensors;weapons,Russian Navy;professional reference,All target fields filled; geometry, crew and survivability bounds remain cross-check items
eq-cn-naval-type052d,naval,current,surface_combatant,Type 052,Type 052D,P1,parameter_complete,hull;displacement;propulsion;speed;crew;sensors;weapons,PRC Navy;PRC Ministry of National Defense,All target fields filled; displacement, range and CIWS batch differences remain cross-check items
eq-us-weapon-aim9m,weapon,cold_war,air_to_air,AIM-9,AIM-9M,P1,parameter_complete,mass;dimensions;seeker;motor;range;warhead;fuzing,US Navy;USAF fact sheet;technical manual,All target fields filled; bounded community values and block details require cross-check
eq-us-weapon-agm65d,weapon,cold_war,air_to_surface,AGM-65,AGM-65D,P1,parameter_complete,mass;dimensions;seeker;motor;range;warhead;fuzing,USAF fact sheet;technical manual,All target fields filled; D-model mass and fuze details require cross-check
eq-us-weapon-agm114l,weapon,current,anti_armor,AGM-114,AGM-114L Longbow Hellfire,P1,parameter_complete,mass;dimensions;seeker;motor;range;warhead;fuzing,US Army;US Marine Corps;manufacturer data,All target fields filled; fuze and warhead split remain cross-check items
eq-us-weapon-javelin,weapon,current,anti_armor,Javelin,FGM-148F,P1,parameter_complete,mass;dimensions;seeker;motor;range;warhead;fuzing,US Army;PEO Missiles and Space,All target fields filled; F-model seeker, ESAF and warhead details require cross-check
eq-us-weapon-tow2b,weapon,post_cold_war,anti_armor,TOW,TOW 2B,P2,parameter_complete,mass;dimensions;guidance;motor;range;warhead;fuzing,US Army;technical manual,All target fields filled; Aero designation and EFP timing remain cross-check items
eq-us-weapon-patriotpac3,weapon,current,surface_to_air,Patriot,PAC-3 MSE,P1,parameter_complete,mass;dimensions;seeker;motor;range;warhead;fuzing,US Army;MDA;official fact sheet,All target fields filled; exact mass, range and fuze details remain cross-check items
eq-ru-weapon-r73,weapon,post_cold_war,air_to_air,R-73,R-73,P1,parameter_complete,mass;dimensions;seeker;motor;range;warhead;fuzing,Russian MoD;professional reference,All target fields filled; domestic/export seeker and motor differences remain cross-check items
eq-fr-weapon-exocetmm40,weapon,post_cold_war,anti_ship,Exocet,MM40 Block 3,P2,parameter_complete,mass;dimensions;seeker;motor;range;warhead;fuzing,French MoD;MBDA technical data,All target fields filled; B3/B3C dimensions and fuze details remain cross-check items
eq-us-weapon-agm158c,weapon,current,anti_ship,LRASM,AGM-158C,P2,parameter_complete,mass;dimensions;seeker;motor;range;warhead;fuzing,US Navy;USAF;manufacturer data,All target fields filled; exact C-1 mass, fuze and classified range remain cross-check items
module-stryker-caterpillar-c7,module,post_cold_war,engine,Stryker powerpack,Caterpillar C7,P2,parameter_complete,power;torque;fuel;cooling;mass;interfaces,Army technical manual;engine manufacturer,All target fields filled; Stryker-specific rating sheet and installed powerpack details remain cross-check items
module-ground-ctis,module,current,mobility,Ground vehicle subsystem,Central tire inflation system,P2,parameter_complete,pressure;control;failure behavior;interfaces,Army technical manuals;vehicle manuals,All target fields filled; per-vehicle presets and wheel-end topology remain cross-check items
module-air-apg68v9,module,post_cold_war,radar,AN/APG-68,Version 9,P2,parameter_complete,band;range;track;scan;power;interfaces,USAF;Northrop Grumman;technical manuals,All target fields filled; target-dependent range customer software and low-level interfaces remain cross-check items
eq-us-air-fa18e,air,current,fighter,F/A-18,F/A-18E,P1,parameter_complete,geometry;mass;engine;flight;crew;armament,US Navy NAVAIR;Boeing,All target fields filled; combat/ferry range retain the NAVAIR store and tank conditions
eq-us-air-ea18g,air,current,electronic_attack,EA-18G,EA-18G,P1,parameter_complete,geometry;mass;engine;flight;crew;armament;mission_system,NAVAIR,All target fields filled; combat range is conditioned on the listed stores and external tanks
eq-us-air-f16c-block50,air,current,fighter,F-16,F-16C Block 50,P1,parameter_complete,geometry;mass;engine;flight;crew;radar;armament,USAF Shaw AFB fact sheet;USAF family fact sheet,All target fields filled; radar row preserves the APG-68 family/FMS APG-68(V)9 applicability boundary
eq-us-air-f15ex,air,current,fighter,F-15,F-15EX,P1,parameter_complete,geometry;mass;engine;flight;crew;armament;mission_system,USAF;Boeing;specialist aerospace source,All target fields filled; empty-weight readings and engine provenance remain explicitly bounded
eq-uk-air-c17a,air,current,strategic_transport,C-17,C-17A,P1,parameter_complete,geometry;mass;engine;flight;crew;payload,RAF;USAF fact sheet,Shared C-17A leaf; RAF operator row is explicit and mission-conditioned payload/range semantics are retained
eq-fr-air-rafale-c,air,current,fighter,Rafale,Rafale C,P1,parameter_complete,geometry;mass;engine;flight;crew;armament;fuel,Dassault Aviation;The Aviationist,Common performance rows are marked family-level; C-specific weight, crew, engine and armament readings remain traceable
eq-fr-air-rafale-b,air,current,fighter,Rafale,Rafale B,P1,parameter_complete,geometry;mass;engine;flight;crew;armament;fuel,Dassault Aviation;The Aviationist,Common performance rows are marked family-level; B-specific weight, crew and fuel readings remain traceable
eq-fr-air-rafale-m,air,current,fighter,Rafale,Rafale M,P1,parameter_complete,geometry;mass;engine;flight;crew;armament;fuel,Dassault Aviation;The Aviationist,Common performance rows are marked family-level; M-specific naval mass, crew and 13-station boundary remain explicit
eq-uk-air-typhoon-fgr4,air,current,fighter,Typhoon,FGR4,P1,parameter_complete,geometry;mass;engine;flight;crew;radar;armament;fuel,RAF;specialist Typhoon reference,RAF-specific weapons/sensors are complete; type-level mass/fuel readings retain their bounded source note
eq-uk-air-f35b,air,current,fighter,F-35,F-35B,P1,parameter_complete,geometry;mass;engine;flight;crew;armament;fuel;mission_system,RAF;USMC;Lockheed Martin,All target fields filled; class-qualified weight and internal-fuel band are retained rather than collapsed
eq-uk-air-p8a,air,current,maritime_patrol,P-8,P-8A,P1,parameter_complete,geometry;mass;engine;flight;crew;armament;mission_system,RAF;Boeing,RAF MRA1 sensors, weapons and crew plus Boeing common P-8 mass and conditioned range
eq-uk-air-a400m-c1,air,current,strategic_transport,A400M,Atlas C1,P1,parameter_complete,geometry;mass;engine;flight;crew;payload;mission_system,RAF;Airbus,Atlas-specific and common A400M data are separated; empty-weight and length conflicts remain explicit
eq-fr-air-c130j30,air,current,tactical_transport,C-130,C-130J-30,P1,parameter_complete,geometry;mass;engine;flight;crew;payload,France MoD;USAF;Air National Guard,French J-30 operating block and U.S. stretch-column values are both retained with definition boundaries
eq-uk-air-voyager-kc2,air,current,tanker,Voyager,KC2,P1,parameter_complete,geometry;mass;engine;flight;crew;payload;mission_system,RAF;Airbus,KC2 underwing-pod boundary and common MRTT structural/performance values are explicit
eq-uk-air-protector-rg1,air,current,uas,Protector,RG1,P1,parameter_complete,geometry;mass;engine;flight;crew;armament;mission_system,RAF;General Atomics,RAF-specific weapons and crew are separated from common MQ-9B geometry mass fuel payload and link data; certification and configuration boundaries remain explicit
eq-fr-air-mirage2000-5f,air,current,fighter,Mirage 2000,2000-5F,P1,parameter_complete,geometry;mass;engine;flight;crew;radar;armament;fuel,French Ministry;GlobalSecurity;Army Recognition,"Official French role/radar/MICA evidence is separated from bounded family geometry, mass, fuel and performance readings"
eq-fr-air-mirage2000d-rmv,air,current,attack,Mirage 2000,2000D RMV,P1,parameter_complete,geometry;mass;engine;flight;crew;armament;fuel;mission_system,French Ministry;Dassault Aviation;GlobalSecurity,"Official French 2000D technical-card values are separated from family and secondary cross-checks; RMV weapon and mission-system integration is explicit"
eq-fr-air-e3f,air,current,aewc,E-3,E-3F,P1,parameter_complete,geometry;mass;engine;flight;crew;mission_system,French Ministry;USAF fact sheet;specialist references,"Official French technical card supplies variant-level core values; family readings remain explicit cross-checks"
eq-fr-air-atl2,air,current,maritime_patrol,Atlantique 2,Atlantique 2,P1,parameter_complete,geometry;mass;engine;flight;crew;armament;mission_system,French DGA;Dassault Aviation;French Navy references,"Manufacturer and government Standard 6 sources provide variant-level platform and mission-system data; range definitions remain conditioned"
eq-uk-air-wildcat-hma2,air,current,maritime_helicopter,Wildcat,HMA2,P1,parameter_complete,geometry;mass;engine;flight;crew;armament;mission_system;payload,Royal Navy;Leonardo,Wildcat HMA2 operating statistics and weapon/sensor roles are separated from AW159 platform data and defined performance conditions
eq-uk-air-merlin-hm2,air,current,maritime_helicopter,Merlin,HM2,P1,parameter_complete,geometry;mass;engine;flight;crew;armament;mission_system;payload,Royal Navy;Leonardo;Seaforces,Merlin Mk2 crew/weapon/mission evidence is separated from generic AW101 performance and the HM1-heading RTM322 reading
eq-uk-air-chinook-hc6a,air,current,rotary_transport,Chinook,HC6A,P1,parameter_complete,geometry;mass;engine;flight;crew;payload;armament;mission_system,RAF;US Army CH-47F family reference,RAF HC5/HC6/HC6A fleet block supplies the operating and mission fields; CH-47F family mass values remain bounded references
eq-fr-air-nh90-nfh,air,current,maritime_helicopter,NH90,NFH,P1,parameter_complete,geometry;mass;engine;flight;crew;armament;mission_system;payload,Airbus;NHIndustries;French Navy references,Airbus NFH values are separated from common NH90 geometry and 10,000 kg reference-condition performance
eq-us-air-e3g,air,current,aewc,E-3,E-3G,P1,parameter_complete,geometry;mass;engine;flight;crew;mission_system,USAF fact sheet;U.S. Air Force Block 40/45 source,Family airframe readings are paired with official E-3G Block 40/45 mission-system and crew-context data
eq-uk-air-apache-ah64e,air,current,attack_helicopter,Apache,AH-64E,P1,parameter_complete,geometry;mass;engine;flight;crew;armament;mission_system,British Army;Boeing;Army Recognition;community cross-check,"UK E-variant capability is sourced directly; empty-weight alternatives retain their source and confidence boundaries"
eq-us-air-c5m,air,current,strategic_transport,C-5,C-5M,P1,parameter_complete,geometry;mass;engine;flight;crew;payload;mission_system,USAF,Official C-5M cargo, engine, mass, range-condition and crew block
eq-us-air-ac130j,air,current,attack,AC-130,AC-130J,P1,parameter_complete,geometry;mass;engine;flight;crew;armament;mission_system,USAF,Official AC-130J Precision Strike Package and platform block
eq-us-air-cv22b,air,current,rotary_transport,CV-22,CV-22B,P1,parameter_complete,geometry;mass;engine;flight;crew;payload;armament;mission_system,USAF,Official CV-22B SOF tiltrotor block with separate STOL/VTOL/self-deployment masses
eq-us-air-hc130j,air,current,personnel_recovery,HC-130,HC-130J,P1,parameter_complete,geometry;mass;engine;flight;crew;fuel;payload;mission_system,USAF,Official HC-130J personnel-recovery and refuelling block
eq-us-air-e2d,air,current,aewc,E-2,E-2D,P1,parameter_complete,geometry;mass;engine;flight;crew;mission_system,NAVAIR;U.S. Navy AirPAC,E-2D-specific mission systems are separated from common E-2 geometry and gross-mass readings
eq-ru-air-su35s,air,current,fighter,Su-35,Su-35S,P1,parameter_complete,geometry;mass;engine;flight;crew;armament;mission_system,ROSOBORONEXPORT;UAC;Defence Security Asia,Official family/export values are separated from the bounded Tier C Su-35S empty-mass reading
eq-ru-air-su34e,air,current,fighter_bomber,Su-34,Su-34E,P1,parameter_complete,geometry;mass;engine;flight;crew;fuel;payload;mission_system,ROSOBORONEXPORT;UAC,Export-specific tables supply the declared fields; weight and ceiling definitions remain labelled
eq-ru-air-su30sme,air,current,fighter,Su-30,Su-30SME,P1,parameter_complete,geometry;mass;engine;flight;crew;fuel;payload;armament;mission_system,ROSOBORONEXPORT;UAC,Official export tables supply the declared fields; the 6.36/6.4 m height readings remain explicit
