source_id,tier,publisher,author_or_maintainer,title,url,domain,equipment,configuration,provenance_status,rights_status,retrieval_status,authority_status,scope_status,residual_status,manifest_path
p5-cn-air-j11b-mitchell,C,Mitchell Institute for Aerospace Studies,"Mitchell Institute, China Airpower Tracker series",J-11 technical data,https://www.mitchellaerospacepower.org/weapons/j-11,air,J-11 / J-11B and J-11BS,"The entry tabulates the J-11 family and lists its active variants including J-11B, J-11BS, J-11BG, J-11BH, J-11BSH and J-11D. The dimensions and masses are stated for the family rather than per variant.",manifest+retrieval+retention,not_recorded,success,non-authoritative,complete,open,raw/sources/mitchell_institute/p5-cn-air-j11b-mitchell/manifest.md
p5-cn-air-j11b-mnd,A,PRC Ministry of National Defense,,J-11B,http://eng.mod.gov.cn/2025xb/D/P_251753/16483088.html,air,J-11 / J-11B/BS,The page confirms J-11B service use and states that variant-level dimensions and performance are not officially disclosed. It is admitted on the J-11B / J-11BS leaf for the service-use row only.,manifest+retrieval+retention,not_recorded,not_attempted,non-authoritative,complete,open,raw/sources/prc_ministry_of_national_defense/p5-cn-air-j11b-mnd/manifest.md
p5-cn-air-j15-deagel,C,Deagel.com,"Deagel.com, defence equipment database",J-15 combat aircraft specification entry,https://www.deagel.com/Combat%20Aircraft/J-15/a002954,air,J-15,Carrier-based fighter of the Su-27 family in Chinese service.,manifest+retrieval+retention,not_recorded,no_record,non-authoritative,complete,open,raw/sources/deagel/p5-cn-air-j15-deagel/manifest.md
p5-cn-air-j15-migflug,C,migflug.com,,"Shenyang J-15 Flying Shark — History, Specs & Stories",https://migflug.com/aircraft/shenyang-j-15/,air,J-15,"Baseline single-seat J-15 delivered for STOBAR operations from Liaoning and Shandong. J-15S, J-15T and J-15D deltas are not merged.",manifest+retrieval+retention,not_recorded,success,non-authoritative,complete,open,raw/sources/migflug/p5-cn-air-j15-migflug/manifest.md
p5-cn-air-j15-mnd,A,PRC Ministry of National Defense,,,http://eng.mod.gov.cn/2025xb/D/P_251753/16443256.html,air,J-15 / J-15,,manifest+retention,not_recorded,not_recorded,non-authoritative,partial,open,raw/sources/prc_ministry_of_national_defense/p5-cn-air-j15-mnd/manifest.md
p5-cn-air-j15-tni,C,The National Interest,The National Interest editorial staff; article by Brandon J. Weichert,The J-15 Flying Shark Fighter Is Just What China's Aircraft Carriers Need,https://nationalinterest.org/blog/buzz/j-15-flying-shark-fighter-just-what-chinas-aircraft-carriers-need-211360,air,J-15,Carrier-based multirole fighter derived from the Su-27 family. The baseline J-15 is a single-seat aircraft; the twin-seat derivative is the separate J-15S.,manifest+retrieval+retention,not_recorded,no_record,non-authoritative,complete,open,raw/sources/the_national_interest/p5-cn-air-j15-tni/manifest.md
p5-cn-air-j16-aviationist,C,The Aviationist,The Aviationist editorial staff,Shenyang J-16 Qianlong: specifications,https://theaviationist.com/2025/01/16/shenyang-j-16,air,J-16,Twin-seat multirole fighter and strike aircraft. The page states the type is in service only with the PLAAF.,manifest+retrieval+retention,not_recorded,success,non-authoritative,complete,open,raw/sources/the_aviationist/p5-cn-air-j16-aviationist/manifest.md
p5-cn-air-j16-mnd,A,PRC Ministry of National Defense,,J-16 multi-role fighter material,http://eng.mod.gov.cn/xb/Home/Focus/16385454.html,air,J-16,,manifest+retention,not_recorded,not_recorded,non-authoritative,partial,open,raw/sources/prc_ministry_of_national_defense/p5-cn-air-j16-mnd/manifest.md
p5-cn-air-j20-armyrecognition,C,Army Recognition,no individual author named; Army Recognition editorial team,Chengdu J-20 Mighty Dragon technical data,https://www.armyrecognition.com/military-products/air/fighter/chengdu-j-20,air,J-20,Single-seat early operational J-20 with WS-10B context and PL-10/PL-12/PL-15 internal weapon carriage; WS-15/J-20S and later A/B variants excluded.,manifest+retention,not_recorded,not_recorded,non-authoritative,complete,open,raw/sources/army_recognition/p5-cn-air-j20-armyrecognition/manifest.md
p5-cn-air-j20-mnd,A,PRC Ministry of National Defense,,China''s J-20 stealth jet put into air force combat service,http://eng.mod.gov.cn/xb/Home/Focus/4804598.html,air,J-20,J-20 combat-service status only; technical performance is supplemented by the Tier C Army Recognition source.,manifest+retention,not_recorded,not_recorded,non-authoritative,complete,open,raw/sources/prc_ministry_of_national_defense/p5-cn-air-j20-mnd/manifest.md
p5-cn-air-kj500-armyrecognition,C,Army Recognition,Army Recognition editorial team,China's KJ-500 airborne early warning aircraft upgrade boosts detection of US F-22 and F-35 stealth fighters,https://www.armyrecognition.com/archives/archives-aerospace-defense/2024/chinas-kj-500-airborne-early-warning-aircraft-upgrade-boosts-detection-of-us-f-22-and-f-35-stealth-fighters,air,KJ-500,The article discusses the KJ-500 on the Y-9 airframe and its detection upgrade.,manifest+retrieval+retention,not_recorded,no_record,non-authoritative,complete,open,raw/sources/army_recognition/p5-cn-air-kj500-armyrecognition/manifest.md
p5-cn-air-kj500-mitchell,C,Mitchell Institute for Aerospace Studies,"Mitchell Institute, China Airpower Tracker series",KJ-500 (Y-9W) technical data,https://www.mitchellaerospacepower.org/weapons/kj-500,air,KJ-500,Airborne early warning and control aircraft built by Shaanxi Aircraft Corporation on the Y-9 airframe. Variants KJ-500 and KJ-500H.,manifest+retrieval+retention,not_recorded,success,non-authoritative,complete,open,raw/sources/mitchell_institute/p5-cn-air-kj500-mitchell/manifest.md
p5-cn-air-kj500-mnd,A,PRC Ministry of National Defense,,,http://eng.mod.gov.cn/2025xb/D/P_251753/16454973.html,air,KJ-500 / KJ-500,,manifest+retention,not_recorded,not_recorded,non-authoritative,partial,open,raw/sources/prc_ministry_of_national_defense/p5-cn-air-kj500-mnd/manifest.md
p5-cn-air-kj500-odin,B,U.S. Army TRADOC G-2 Threats Integration / ODIN Worldwide Equipment Guide,,KJ-500 Chinese Airborne Early Warning and Control Aircraft,https://odin.t2com.army.mil/WEG/Asset/5189c21e2a18cc5edbc906ca7d341daf,air,KJ-500,KJ-500 base airborne early warning and control aircraft on the Y-9 family. KJ-500H and later refuelling variants are not merged.,manifest+retrieval+retention,not_recorded,success,non-authoritative,complete,open,raw/sources/odin/p5-cn-air-kj500-odin/manifest.md
p5-cn-air-kj500-pla-navy,A,"China Military Online, the official English-language site of the People's Liberation Army",China Military Online editorial staff,PLA Navy KJ-500 trains day and night,http://eng.chinamil.com.cn/2025xb/M_251449/P_251468/16454971.html,air,KJ-500,"The report covers a KJ-500 airborne early warning aircraft attached to an aviation unit during an early warning and reconnaissance training exercise, and places the unit under PLA Navy aviation.",manifest+retrieval+retention,not_recorded,no_record,non-authoritative,complete,open,raw/sources/china_military_online/p5-cn-air-kj500-pla-navy/manifest.md
p5-cn-air-y20-compiled,C,"English-language encyclopedic aviation entry, Xi'an Y-20 article",article editors,Xi'an Y-20 — specifications,https://en.wikipedia.org/wiki/Xi%27an_Y-20,air,Y-20,The Y-20 transport family. The YY-20A tanker and YY-20B are separate configurations recorded on their own leaf.,manifest+retrieval+retention,not_recorded,no_record,non-authoritative,complete,open,raw/sources/compiled_secondary/p5-cn-air-y20-compiled/manifest.md
p5-cn-air-y20-militaryfactory,C,MilitaryFactory.com,Staff Writer,Xian Y-20 (Kunpeng) Long-Range Strategic Airlifter Transport Aircraft,https://www.militaryfactory.com/aircraft/detail.php?aircraft_id=1046,air,Y-20,Generic Xian Y-20 entry. The page mentions later WS-20 and earlier D-30/WS-18 fits; its engine text is not used to collapse the separate Y-20/Y-20B powerplant rows.,manifest+retrieval+retention,not_recorded,success,non-authoritative,complete,open,raw/sources/military_factory/p5-cn-air-y20-militaryfactory/manifest.md
p5-cn-air-y20-mnd,A,PRC Ministry of National Defense,,China''s Y-20 Transport Aircraft,http://eng.mod.gov.cn/2025xb/D/P_251753/16478358.html,air,Y-20,,manifest+retention,not_recorded,not_recorded,non-authoritative,partial,open,raw/sources/prc_ministry_of_national_defense/p5-cn-air-y20-mnd/manifest.md
p5-cn-air-y20-snl,C,Store norske leksikon,Yngve Jarslett,Y-20,https://snl.no/Y-20,air,Y-20,"Generic Y-20 entry. It does not describe Y-20A, Y-20B or YY-20A as separate configurations.",manifest+retrieval+retention,not_recorded,success,non-authoritative,complete,open,raw/sources/store_norske_leksikon/p5-cn-air-y20-snl/manifest.md
p5-cn-air-yy20a-janes,C,Janes Defence Intelligence,,Images confirm Y-20U aerial tanker is in PLAAF service,https://www.janes.com/defence-intelligence-insights/defence-news/air/images-confirm-y-20u-aerial-tanker-is-in-plaaf-service,air,YY-20 / Y-20U,Y-20U / YY-20A tanker configuration. Transport and Y-20B configurations are not merged.,manifest+retrieval+retention,not_recorded,success,non-authoritative,complete,open,raw/sources/janes/p5-cn-air-yy20a-janes/manifest.md
p5-cn-air-yy20a-mitchell,C,Mitchell Institute for Aerospace Studies,"Mitchell Institute, China Airpower Tracker series",YY-20 (Tanker) technical data,https://www.mitchellaerospacepower.org/weapons/yy-20,air,YY-20 / YY-20A,Aerial refuelling tanker built by Xi'an Aircraft Industrial Corporation on the Y-20 airframe. Active variant listed as YY-20A (Y-20U).,manifest+retrieval+retention,not_recorded,success,non-authoritative,complete,open,raw/sources/mitchell_institute/p5-cn-air-yy20a-mitchell/manifest.md
p5-cn-air-yy20a-mnd,A,PRC Ministry of National Defense,,,http://eng.mod.gov.cn/xb/Home/Focus/16410757.html,air,YY-20 / YY-20A,,manifest+retention,not_recorded,not_recorded,non-authoritative,partial,open,raw/sources/prc_ministry_of_national_defense/p5-cn-air-yy20a-mnd/manifest.md
p5-cn-air-yy20a-redstar,C,RedStar.gr aviation reference,,YY-20A Aerial refuelling tanker,https://www.redstar.gr/en/other/world-aviation/air-force-of-the-peoples-liberation-army-of-china/xian-aircraft-industry-corparation-xac/yy-20a-aerial-refuelling-tanker.html,air,YY-20 / YY-20A,YY-20A / Y-20U tanker based on the earlier Y-20A powerplant family. YY-20B with WS-20 engines is a separate configuration.,manifest+retrieval+retention,not_recorded,success,non-authoritative,complete,open,raw/sources/redstar/p5-cn-air-yy20a-redstar/manifest.md
p5-cn-air-z20-encyclopedic,C,"English-language encyclopedic aviation entry, Harbin Z-20 article",article editors,Harbin Z-20 — specifications,https://en.wikipedia.org/wiki/Harbin_Z-20,air,Z-20,"The specifications block describes the Z-20 utility type. The Z-20F, Z-20J and other marks are covered elsewhere in the same article and are not merged into this record.",manifest+retrieval+retention,not_recorded,partial,non-authoritative,complete,open,raw/sources/wikipedia/p5-cn-air-z20-encyclopedic/manifest.md
p5-cn-air-z20-globalmilitary,C,GlobalMilitary.net,GlobalMilitary.net open-source compilation,"Z-20 — helicopter specs, top speed and range",https://www.globalmilitary.net/aircraft/z20/,air,Z-20,The page carries an explicit Z-20 version block for both technical specifications and performance. The armed marks and the naval marks are not tabulated separately.,manifest+retrieval+retention,not_recorded,success,non-authoritative,complete,open,raw/sources/globalmilitary/p5-cn-air-z20-globalmilitary/manifest.md
p5-cn-air-z20-gs,C,GlobalSecurity.org,"John Pike, site maintainer",Z-20 Copyhawk 10-ton Helicopter — specifications,https://www.globalsecurity.org/military/world/china/z-20-specs.htm,air,Z-20,"Medium-lift utility helicopter developed by AVICOPTER and Harbin Aviation Industry. The page lists a wide role set including transport, assault, anti-submarine warfare, anti-ship, medical evacuation, search and rescue and reconnaissance.",manifest+retrieval+retention,not_recorded,success,non-authoritative,complete,open,raw/sources/globalsecurity/p5-cn-air-z20-gs/manifest.md
p5-cn-air-z20-mnd,A,PRC Ministry of National Defense,,,http://eng.mod.gov.cn/news/2019-10/01/content_4851983.htm,air,Z-20 / Z-20,,manifest+retention,not_recorded,not_recorded,non-authoritative,partial,open,raw/sources/prc_ministry_of_national_defense/p5-cn-air-z20-mnd/manifest.md
p5-cn-air-z20-scio,A,State Council Information Office of the PRC,,"A proud, profitable takeoff",https://english.scio.gov.cn/in-depth/2019-11/18/content_75418679_0.htm,air,Z-20,"Base Z-20 multipurpose transport/utility configuration. Naval, armed and other service variants are separate.",manifest+retrieval+retention,not_recorded,success,non-authoritative,complete,open,raw/sources/prc_scio/p5-cn-air-z20-scio/manifest.md
p5-cn-naval-type052d-armyrecognition,C,Army Recognition,no individual author named; Army Recognition editorial team; page displays an editorial update dated 2026-06-02,Type 052D Kunming class destroyer,https://www.armyrecognition.com/military-products/navy/destroyers-cruisers/type-052d-kungming-class,naval,Type 052D Kunming/Luyang III destroyer,"Baseline Type 052D/Kunming class. Type 052C, stretched Type 052DL, export Type 052DE and batch-specific CIWS/diesel changes are not merged.",manifest+retention,not_recorded,not_recorded,non-authoritative,complete,open,raw/sources/army_recognition/p5-cn-naval-type052d-armyrecognition/manifest.md
p5-cn-naval-type052d-mnd,A,Ministry of National Defense of the People's Republic of China / China Military Online,,Destroyers sail in training,http://eng.mod.gov.cn/xb/Home/Focus/16402494.html,naval,Type 052D guided-missile destroyer Cangzhou (hull 125),"Official image/caption identifies a Type 052D hull in PLAN Northern Theater Command training; it does not publish class dimensions, loading, propulsion or combat-system specifications.",manifest+retention,not_recorded,not_recorded,non-authoritative,complete,open,raw/sources/prc_ministry_of_national_defense/p5-cn-naval-type052d-mnd/manifest.md
p5-cn-naval-type052d-navaltechnology,C,Naval Technology (GlobalData),Praveen (page author); Naval Technology editorial/GlobalData maintenance,Luyang-III Class / Type 052D Destroyers,https://www.naval-technology.com/projects/luyang-052d-destroyers/,naval,Type 052D Luyang III destroyer,"Baseline Type 052D hull and published PLAN fit (not stretched Type 052DL, export Type 052DE or ship-specific later upgrades). The page describes the class, not one named hull.",manifest+retention,not_recorded,not_recorded,non-authoritative,complete,open,raw/sources/naval_technology/p5-cn-naval-type052d-navaltechnology/manifest.md
p5-cn-naval-type052d-wikipedia,C,Wikimedia Foundation / Wikipedia,no individual author named; Wikimedia volunteer contributors; revision history is public,Type 052D destroyer,https://en.wikipedia.org/wiki/Type_052D_destroyer,naval,Type 052D and Type 052DL destroyer family,Community-compiled class page; baseline Type 052D and stretched Type 052DL are listed separately. The leaf uses it only for public displacement context and does not copy later-batch values.,manifest+retention,not_recorded,not_recorded,non-authoritative,complete,open,raw/sources/wikipedia/p5-cn-naval-type052d-wikipedia/manifest.md
p5-de-air-tornadoids-bundeswehr,A,Bundeswehr,German Air Force public-affairs and equipment-information team,Tornado IDS / ECR aircraft,https://www.bundeswehr.de/en/organization/german-air-force/equipment-and-technology/tornado,air,Panavia Tornado IDS,"German IDS dimensions, crew, navigation and terrain-following systems; ECR and national retrofit pods excluded",manifest+retention,not_recorded,not_recorded,non-authoritative,complete,open,raw/sources/bundeswehr/p5-de-air-tornadoids-bundeswehr/manifest.md
p5-de-ground-leopard2a4-bundeswehr,A,Bundeswehr,,Leopard 2 main battle tank equipment reference,https://www.bundeswehr.de/de/ausruestung-technik-bundeswehr/landsysteme/leopard-2,ground,Leopard 2A4,,manifest+retention,not_recorded,not_recorded,non-authoritative,partial,open,raw/sources/bundeswehr/p5-de-ground-leopard2a4-bundeswehr/manifest.md
p5-de-ground-leopard2a4-knds,C,,no individual author named; KNDS public product team,Leopard 2 technical data and family history,https://www.knds.com/products/tracked-vehicles/leopard-2/,ground,Leopard 2A4,"Leopard 2A4 baseline/product context; customer or national upgrade packages, exact fuel/stowage state and later A5-A8 variants are excluded.",manifest+retention,not_recorded,not_recorded,non-authoritative,complete,open,raw/sources/knds/p5-de-ground-leopard2a4-knds/manifest.md
p5-de-ground-leopard2a4-weaponspecs,C,,no individual author named; WeaponSpecs editorial team,"KNDS Leopard 2A4, specs & comparison",https://www.weaponspecs.com/systems/knds/leopard-2a4/,ground,Leopard 2A4,Leopard 2A4 Cold War production standard; national upgrades and later A5-A8 variants are excluded.,manifest+retention,not_recorded,not_recorded,non-authoritative,complete,open,raw/sources/weaponspecs/p5-de-ground-leopard2a4-weaponspecs/manifest.md
p5-de-ground-leopard2a7-bundeswehr,A,Bundeswehr,,Leopard 2 equipment reference and current upgrade context,https://www.bundeswehr.de/de/ausruestung-technik-bundeswehr/landsysteme/leopard-2,ground,Leopard 2A7,,manifest+retention,not_recorded,not_recorded,non-authoritative,partial,open,raw/sources/bundeswehr/p5-de-ground-leopard2a7-bundeswehr/manifest.md
p5-de-ground-leopard2a7-knds,C,,no individual author named; KNDS public product team,Leopard 2 A7 product information,https://www.knds.com/products/tracked-vehicles/leopard-2/leopard-2-a7/,ground,Leopard 2A7,Leopard 2A7 manufacturer product context; A7V and customer-specific gun/kit variants are excluded.,manifest+retention,not_recorded,not_recorded,non-authoritative,complete,open,raw/sources/knds/p5-de-ground-leopard2a7-knds/manifest.md
p5-de-ground-leopard2a7-weaponspecs,C,,no individual author named; WeaponSpecs editorial team,"KNDS Leopard 2A7, specs & comparison",https://www.weaponspecs.com/systems/knds/leopard-2a7/,ground,Leopard 2A7,Leopard 2A7 production standard as compiled by WeaponSpecs; A7V and customer-specific kits are excluded.,manifest+retention,not_recorded,not_recorded,non-authoritative,complete,open,raw/sources/weaponspecs/p5-de-ground-leopard2a7-weaponspecs/manifest.md
p5-de-ground-pzh2000-armyrecognition,C,Army Recognition,no individual author named; Army Recognition editorial team (page metadata lists Administrator),PzH 2000 Germany/UK 155 mm self-propelled howitzer technical data sheet,https://www.armyrecognition.com/military-products/army/artillery-vehicles-and-weapons/self-propelled-howitzers/pzh-2000-germany-uk,ground,Panzerhaubitze 2000,German/KMW baseline PzH 2000; Italian PzH 2000M and later A4 retrofit claims are excluded.,manifest+retention,not_recorded,not_recorded,non-authoritative,complete,open,raw/sources/army_recognition/p5-de-ground-pzh2000-armyrecognition/manifest.md
p5-de-ground-pzh2000-bundeswehr,B,Bundeswehr (German Federal Ministry of Defence),,Panzerhaubitze 2000 equipment and technical data,https://www.bundeswehr.de/de/ausruestung-technik-bundeswehr/landsysteme-bundeswehr/panzerhaubitze-2000,ground,Panzerhaubitze 2000,German Bundeswehr PzH 2000 baseline; A1/A2 and export retrofit configurations are not merged.,manifest+retention,not_recorded,not_recorded,non-authoritative,complete,open,raw/sources/bundeswehr/p5-de-ground-pzh2000-bundeswehr/manifest.md
p5-de-weapon-hk416a5,B,Heckler & Koch,,HK416 A5 technical data,https://s3.amazonaws.com/hk-manuals/files/Military/HK416/HK416A5_Technical_Data.pdf,weapon,HK416 A5 14.5-inch,"HK416 A5 14.5-inch configuration; 11, 16.5 and 20-inch barrel columns are not merged.",manifest+retrieval+retention,not_recorded,success,non-authoritative,complete,open,raw/sources/heckler_koch/p5-de-weapon-hk416a5/manifest.md
p5-de-weapon-mg3-bundeswehr,A,Bundeswehr,,Das Maschinengewehr MG3,https://www.bundeswehr.de/de/ausruestung-technik-bundeswehr/ausruestung-bewaffnung/mg3,weapon,MG3,Bundeswehr MG3 standard machine-gun configuration; MG3A1 vehicle variant is noted but not merged.,manifest+retrieval+retention,not_recorded,success,non-authoritative,complete,open,raw/sources/bundeswehr/p5-de-weapon-mg3-bundeswehr/manifest.md
p5-de-weapon-mg3-wikipedia,C,Wikipedia community reference,,MG3 machine gun,https://en.wikipedia.org/wiki/MG_3_machine_gun,weapon,MG3,Standard MG3 geometry; MG3A1 and national derivatives are excluded.,manifest+retrieval+retention,not_recorded,success,non-authoritative,complete,open,raw/sources/wikipedia/p5-de-weapon-mg3-wikipedia/manifest.md
p5-de-weapon-mg4-bundeswehr,A,Bundeswehr,,Maschinengewehr MG4,https://www.bundeswehr.de/de/ausruestung-technik-bundeswehr/ausruestung-bewaffnung/mg4,weapon,MG4,Baseline Bundeswehr MG4 with bipod and carrying handle; A1/A2/A3 changes are not merged.,manifest+retrieval+retention,not_recorded,success,non-authoritative,complete,open,raw/sources/bundeswehr/p5-de-weapon-mg4-bundeswehr/manifest.md
p5-de-weapon-panzerfaust3-bundeswehr,A,Bundeswehr,,Panzerfaust 3,https://www.bundeswehr.de/de/ausruestung-technik-bundeswehr/ausruestung-bewaffnung/panzerfaust-3,weapon,Panzerfaust 3,Bundeswehr Panzerfaust 3 with DM72 tandem ammunition context; Bunkerfaust DM32 is retained as a separate ammunition role.,manifest+retrieval+retention,not_recorded,success,non-authoritative,complete,open,raw/sources/bundeswehr/p5-de-weapon-panzerfaust3-bundeswehr/manifest.md
p5-eu-air-a330mrtt-airbus,B,Airbus Defence and Space,"Airbus, military aircraft product pages",A330 MRTT — multi role tanker transport,https://www.airbus.com/en/products-services/defence/military-aircraft/a330-mrtt,air,A330 MRTT / Voyager,"The manufacturer page covers the A330 MRTT family, which includes the A330 MRTT+ based on the A330neo. The Royal Air Force Voyager is the A330 MRTT in British service, and the family-level figures here are recorded as family readings rather than as Voyager-specific ones.",manifest+retrieval+retention,not_recorded,success,non-authoritative,complete,open,raw/sources/airbus/p5-eu-air-a330mrtt-airbus/manifest.md
p5-eu-air-a330mrtt-specs,B,Airbus Defence and Space,Airbus Defence and Space,"A330 MRTT — The Tanker of Choice, technical brochure",https://www.airbus.com/sites/g/files/jlcbta136/files/2023-08/TMMP0014_01_2023_A330%20MRTT%20Brochure_ENG_Low.pdf,air,A330 MRTT / Voyager KC2,Airbus common A330 MRTT specification block based on the A330-200-derived tanker. The RAF Voyager KC2 is a national configuration and is not treated as identical to every MRTT customer fit.,manifest+retrieval+retention,not_recorded,success,non-authoritative,complete,open,raw/sources/airbus/p5-eu-air-a330mrtt-specs/manifest.md
p5-eu-air-tornadoids-wikipedia,C,Wikimedia Foundation / Wikipedia,Wikimedia volunteer contributors; revision history is public,Panavia Tornado,https://en.wikipedia.org/wiki/Panavia_Tornado,air,Tornado IDS / GR1 family,"IDS/GR1 geometry, RB199 Mk103 thrust, mass, performance, radar, gun and station values; ADV/F3, ECR and GR4 upgrades excluded",manifest+retention,not_recorded,not_recorded,non-authoritative,complete,open,raw/sources/wikipedia/p5-eu-air-tornadoids-wikipedia/manifest.md
p5-eu-ground-cv90mk4-bae,A,BAE Systems Hagglunds,,CV90MkIV,https://www.baesystems.com/en-us/product/cv90-mkiv,ground,CV90 Mk IV,"Manufacturer MkIV family page; D-series turrets, ATGM, APS and customer options are presented as modular capability rather than one fixed vehicle.",manifest+retention,not_recorded,not_recorded,non-authoritative,complete,open,raw/sources/bae_systems/p5-eu-ground-cv90mk4-bae/manifest.md
p5-eu-ground-cv90mk4-baebrochure,C,BAE Systems Hagglunds (archived brochure; mirror copy),no individual author named; BAE Systems Hagglunds product team; mirror maintained by MilitaryPedia.it,CV90 specifications brochure,https://www.militarypedia.it/wp-content/uploads/2015/11/CV90_12-page0.pdf,ground,"CV90 family, used for Mk IV environmental/fording cross-check","2011-era family brochure, not a Mk IV-specific card; family-level 1.5 m fording, 3+7 operators, 70 km/h and 900 km range are retained only as comparison bounds.",manifest+retention,not_recorded,not_recorded,non-authoritative,complete,open,raw/sources/bae_systems/p5-eu-ground-cv90mk4-baebrochure/manifest.md
p5-eu-ground-cv90mk4-cv90cz,C,CV90.cz Czech programme portal,no individual author named; CV90.cz editorial team / Czech BAE Systems programme communications,CV90 MkIV detailed specification and protection overview,https://cv90.cz/do-detailu/,ground,CV90 Mk IV Czech configuration context,"Czech customer offer; MkIV D-series turret and Czech armor/protection package, not a universal European Mk IV.",manifest+retention,not_recorded,not_recorded,non-authoritative,complete,open,raw/sources/cv90_cz/p5-eu-ground-cv90mk4-cv90cz/manifest.md
