component_name,system,component_role,prior_shape,prior_axis,shape_promotion_status,size_basis,size_evidence_level,nominal_dimensions_m,size_source_urls,bound_region_id,constraint_region_ids,constraint_mode,constraint_bounds_source,placement_bounds_source,constraint_status,original_aabb_containment_fraction,shrink_scale,required_fit_scale,size_preserved,center_shift_m,airframe_projection_center_shift_m,placement_outside_fraction,pre_constraint_outside_fraction,post_constraint_outside_fraction,constrained_center_m,constrained_span_m,component_review_semantics,runtime_projection_status
engine_core,engine,cross_region_engine_receiver,capsule,x,r21_promoted_from_latest_subcomponent_candidate,public_f110_ge_129_engine_dimensions,public_engine_dimension,4.62026;1.1811;1.1811,https://www.geaerospace.com/propulsion/military/f110,aft_fuselage_engine,aft_fuselage_engine;engine_nozzle;intake,multi_region_placement_source_region_bounds_whole_airframe_constraint,whole_airframe_source_region_union_bounds,source_region_bounds,cross_region_prior_constrained_inside_airframe_held,0.88836,1.0,1.0,True,0.0,0.0,0.0,0.0,0.0,-3.693053;0.0;-0.554381,4.62026;1.1811;1.1811,cross_region_boundary_candidate_review_only,runtime_schema_candidate_not_activated_prior_shape_review_required
afterburner_nozzle,engine,nozzle_receiver,ellipsoid,,r21_promoted_from_latest_subcomponent_candidate,f110_diameter_plus_nozzle_region_length_estimate,public_engine_diameter_mesh_length_estimate,0.75;1.1811;1.1811,https://www.geaerospace.com/propulsion/military/f110;examples/viz/web_viz/static/assets/air/audit/f16_c_falcon_carlos_maciel/gltf/scene.gltf,engine_nozzle,engine_nozzle;aft_fuselage_engine,multi_region_placement_source_region_bounds_whole_airframe_constraint,whole_airframe_source_region_union_bounds,source_region_bounds,already_inside_whole_airframe,1.0,1.0,1.0,True,0.0,0.0,0.0,0.0,0.0,-5.75;-0.2;-0.7,0.75;1.1811;1.1811,candidate_direct_region_binding,runtime_schema_candidate_not_activated_prior_shape_review_required
tail_hydraulic_pump,hydraulic,small_hydraulic_receiver,obb,,not_promoted_from_subcomponent_shape_candidate,engineering_proxy_no_public_f16_pump_dimensions,low_confidence_engineering_proxy,0.25;0.18;0.18,,aft_fuselage_engine,aft_fuselage_engine,single_parent_placement_source_region_bounds_whole_airframe_constraint,whole_airframe_source_region_union_bounds,source_region_bounds,placed_inside_airframe_exceeds_parent_shell_review,0.62381,1.0,1.0,True,0.0,0.845281,0.22487,0.0,0.0,-5.025768;0.0;-0.52713,0.25;0.18;0.18,candidate_direct_region_binding,runtime_schema_candidate_not_activated_prior_shape_review_required
engine_fuel_control_unit,engine,small_engine_control_receiver,obb,,not_promoted_from_subcomponent_shape_candidate,standard_half_atr_control_box_proxy,standard_enclosure_proxy_pending_f110_control_unit_dimensions,0.320548;0.123952;0.14351,https://www.elma.com/en/products/systems/atr-cases/,aft_fuselage_engine,aft_fuselage_engine,single_parent_placement_source_region_bounds_whole_airframe_constraint,whole_airframe_source_region_union_bounds,source_region_bounds,already_inside_whole_airframe,1.0,1.0,1.0,True,0.0,0.0,0.0,0.0,0.0,-4.9;0.0;-0.25,0.320548;0.123952;0.14351,candidate_direct_region_binding,runtime_schema_candidate_not_activated_prior_shape_review_required
rudder_actuator,flight_control,control_surface_actuator_receiver,capsule,z,not_promoted_from_subcomponent_shape_candidate,engineering_proxy_no_public_f16_rudder_actuator_dimensions,low_confidence_engineering_proxy,0.08;0.08;0.45,,vertical_tail,vertical_tail,single_parent_placement_source_region_bounds_whole_airframe_constraint,whole_airframe_source_region_union_bounds,source_region_bounds,already_inside_whole_airframe,1.0,1.0,1.0,True,0.0,1.152072,0.0,0.0,0.0,-6.974901;0.0;1.568794,0.08;0.08;0.45,candidate_direct_region_binding,runtime_schema_candidate_not_activated_prior_shape_review_required
left_horizontal_tail_actuator_or_surface_component,flight_control,tail_surface_receiver,capsule,y,not_promoted_from_subcomponent_shape_candidate,engineering_proxy_no_public_f16_tail_actuator_dimensions,low_confidence_engineering_proxy,0.08;0.65;0.08,,left_horizontal_tail,left_horizontal_tail,single_parent_placement_source_region_bounds_whole_airframe_constraint,whole_airframe_source_region_union_bounds,source_region_bounds,already_inside_whole_airframe,1.0,1.0,1.0,True,0.0,0.0,0.0,0.0,0.0,-6.0;-1.79;-1.05,0.08;0.65;0.08,candidate_direct_region_binding,runtime_schema_candidate_not_activated_prior_shape_review_required
right_horizontal_tail_actuator_or_surface_component,flight_control,tail_surface_receiver,capsule,y,not_promoted_from_subcomponent_shape_candidate,engineering_proxy_no_public_f16_tail_actuator_dimensions,low_confidence_engineering_proxy,0.08;0.65;0.08,,right_horizontal_tail,right_horizontal_tail,single_parent_placement_source_region_bounds_whole_airframe_constraint,whole_airframe_source_region_union_bounds,source_region_bounds,already_inside_whole_airframe,1.0,1.0,1.0,True,0.0,0.0,0.0,0.0,0.0,-6.0;1.79;-1.05,0.08;0.65;0.08,candidate_direct_region_binding,runtime_schema_candidate_not_activated_prior_shape_review_required
left_wing_fuel_cell,fuel,wing_fuel_cell_receiver,ellipsoid,,r21_promoted_from_latest_subcomponent_candidate,f16_internal_fuel_capacity_partition_estimate,public_total_capacity_partition_estimate,2.0;2.2;0.15,https://www.af.mil/About-Us/Fact-Sheets/Display/Article/104505/f-16-fighting-falcon/,left_wing,left_wing,single_parent_placement_source_region_bounds_whole_airframe_constraint,whole_airframe_source_region_union_bounds,source_region_bounds,already_inside_whole_airframe,1.0,1.0,1.0,True,0.0,0.0,0.0,0.0,0.0,-1.4;-2.3;-0.985,2.0;2.2;0.15,candidate_direct_region_binding,runtime_schema_candidate_not_activated_prior_shape_review_required
right_wing_fuel_cell,fuel,wing_fuel_cell_receiver,ellipsoid,,r21_promoted_from_latest_subcomponent_candidate,f16_internal_fuel_capacity_partition_estimate,public_total_capacity_partition_estimate,2.0;2.2;0.15,https://www.af.mil/About-Us/Fact-Sheets/Display/Article/104505/f-16-fighting-falcon/,right_wing,right_wing,single_parent_placement_source_region_bounds_whole_airframe_constraint,whole_airframe_source_region_union_bounds,source_region_bounds,already_inside_whole_airframe,1.0,1.0,1.0,True,0.0,0.0,0.0,0.0,0.0,-1.4;2.3;-0.985,2.0;2.2;0.15,candidate_direct_region_binding,runtime_schema_candidate_not_activated_prior_shape_review_required
left_aileron_actuator,flight_control,control_surface_actuator_receiver,capsule,y,not_promoted_from_subcomponent_shape_candidate,engineering_proxy_no_public_f16_aileron_actuator_dimensions,low_confidence_engineering_proxy,0.08;0.45;0.08,,left_wing,left_wing,single_parent_placement_source_region_bounds_whole_airframe_constraint,whole_airframe_source_region_union_bounds,source_region_bounds,already_inside_whole_airframe,1.0,1.0,1.0,True,0.0,2.06692,0.0,0.0,0.0,-2.342176;-2.723827;-0.985,0.08;0.45;0.08,candidate_direct_region_binding,runtime_schema_candidate_not_activated_prior_shape_review_required
right_aileron_actuator,flight_control,control_surface_actuator_receiver,capsule,y,not_promoted_from_subcomponent_shape_candidate,engineering_proxy_no_public_f16_aileron_actuator_dimensions,low_confidence_engineering_proxy,0.08;0.45;0.08,,right_wing,right_wing,single_parent_placement_source_region_bounds_whole_airframe_constraint,whole_airframe_source_region_union_bounds,source_region_bounds,already_inside_whole_airframe,1.0,1.0,1.0,True,0.0,2.066949,0.0,0.0,0.0,-2.342168;2.723775;-0.985,0.08;0.45;0.08,candidate_direct_region_binding,runtime_schema_candidate_not_activated_prior_shape_review_required
wing_spar_center,wings,cross_region_structural_receiver,capsule,y,not_promoted_from_subcomponent_shape_candidate,center_wing_box_runtime_span_with_wing_root_mesh_center,cross_region_structure_proxy_pending_true_spar_dimensions,0.18;6.6;0.18,https://www.af.mil/About-Us/Fact-Sheets/Display/Article/104505/f-16-fighting-falcon/;examples/config/database/aircraft/units/f16c_block50.json;examples/viz/web_viz/static/assets/air/audit/f16_c_falcon_carlos_maciel/gltf/scene.gltf,center_fuselage,center_fuselage;left_wing_root;right_wing_root;left_wing;right_wing,multi_region_placement_source_region_bounds_whole_airframe_constraint,whole_airframe_source_region_union_bounds,source_region_bounds,cross_region_prior_constrained_inside_airframe_held,1.0,1.0,1.0,True,0.0,0.0,0.0,0.0,0.0,-1.092842;0.0;-0.985043,0.18;6.6;0.18,cross_region_structural_semantic_hold,runtime_schema_candidate_not_activated_prior_shape_review_required
left_leading_edge_flap_actuator,flight_control,control_surface_actuator_receiver,capsule,y,not_promoted_from_subcomponent_shape_candidate,engineering_proxy_no_public_f16_lef_actuator_dimensions,low_confidence_engineering_proxy,0.08;0.55;0.08,,left_wing_root,left_wing_root,single_parent_placement_source_region_bounds_whole_airframe_constraint,whole_airframe_source_region_union_bounds,source_region_bounds,already_inside_whole_airframe,1.0,1.0,1.0,True,0.0,0.244926,0.0,0.0,0.0,-0.2;-1.100915;-0.949957,0.08;0.55;0.08,candidate_direct_region_binding,runtime_schema_candidate_not_activated_prior_shape_review_required
right_leading_edge_flap_actuator,flight_control,control_surface_actuator_receiver,capsule,y,not_promoted_from_subcomponent_shape_candidate,engineering_proxy_no_public_f16_lef_actuator_dimensions,low_confidence_engineering_proxy,0.08;0.55;0.08,,right_wing_root,right_wing_root,single_parent_placement_source_region_bounds_whole_airframe_constraint,whole_airframe_source_region_union_bounds,source_region_bounds,already_inside_whole_airframe,1.0,1.0,1.0,True,0.0,0.244926,0.0,0.0,0.0,-0.2;1.100914;-0.949957,0.08;0.55;0.08,candidate_direct_region_binding,runtime_schema_candidate_not_activated_prior_shape_review_required
